,Company,Duration,Last Date,Location,Posted on,Salary,Start Date:,Title
30,Tripsters,2 Months,13 Nov'18,Work From Home,31 Oct'18,3000 /Month,Immediately,Web Development
31,LCharmin,2 Months,12 Nov'18,Work From Home,31 Oct'18,1800 /Month,Immediately,Mobile App Development
32,LCharmin,2 Months,6 Nov'18,Work From Home,31 Oct'18,2000 /Month,Immediately,Software Development
33,StudySurge.com,2 Weeks,14 Nov'18,Work From Home,31 Oct'18,400-600 /Week,Immediately,Software Testing
34,Minushia,2 Months,13 Nov'18,Work From Home,30 Oct'18,2000 /Month,Immediately,Software Development
35,Deckers Tech,1 Month,13 Nov'18,Work From Home,30 Oct'18,2000 /Month,Immediately,Web Development
36,Hyd Best Services,2 Months,13 Nov'18,Work From Home,30 Oct'18,3000 /Month,Immediately,Mobile App Development
37,Paramhans Infotec Limited,3 Months,12 Nov'18,Work From Home,30 Oct'18,1000 /Month,Immediately,Mobile App Development
38,Techprolabz,3 Months,13 Nov'18,Work From Home,30 Oct'18,3000 /Month +  Incentives,Immediately,Web Development
39,Nimesa LLC.,2 Months,13 Nov'18,Work From Home,30 Oct'18,5000-10000 /Month,Immediately,Web Development
40,WedAbout,2 Months,13 Nov'18,Work From Home,30 Oct'18,5000 /Month,Immediately,Web Development
41,LifeOfGirl,2 Months,12 Nov'18,Work From Home,30 Oct'18,1000 /Month,Immediately,Mobile App Development
42,Decision Fiction,6 Months,12 Nov'18,Work From Home,30 Oct'18,15000 /Month,Immediately,Mobile App Development
43,Huntsends,1 Month,13 Nov'18,Work From Home,30 Oct'18,8000 /Month,Immediately,Web Development
44,Evineon Technologies,2 Months,12 Nov'18,Work From Home,30 Oct'18,8000 /Month,Immediately,Mobile App Development
45,Junomoneta.io,6 Months,13 Nov'18,Work From Home,30 Oct'18,6000 /Month,Immediately,Blockchain Development
46,Myinstapass,2 Months,13 Nov'18,Work From Home,30 Oct'18,7000-8000 /Month,Immediately,Mobile App Development
47,Npa Guru,2 Months,12 Nov'18,Work From Home,30 Oct'18,3000 /Month,Immediately,Mobile App Development
48,Celebebook.com,4 Months,30 Nov'18,Work From Home,30 Oct'18,3300 /Month,Immediately,Mobile App Development
49,INKTOP PUBLISHER Private Limited,2 Months,11 Nov'18,Work From Home,30 Oct'18,2000 /Month,Immediately,Web Development
50,Staffoid,2 Months,10 Nov'18,Work From Home,30 Oct'18,2000-5000 /Month,Immediately,Mobile App Development
51,Mintage,2 Months,9 Nov'18,Work From Home,30 Oct'18,3000-5000 /Month,Immediately,Mobile App Development
52,INKTOP PUBLISHER Private Limited,2 Months,12 Nov'18,Work From Home,30 Oct'18,2500 /Month,Immediately,Mobile App Development
53,Agriprince,3 Months,12 Nov'18,Work From Home,29 Oct'18,2000 /Month,Immediately,UI/UX Design (Android App)
54,Cybervie,3 Months,17 Nov'18,Work From Home,29 Oct'18,5000 /Month,Immediately,Full Stack Development
55,GoOffer Hyperlocal Private Limited,1 Month,9 Nov'18,Work From Home,29 Oct'18,3000 /Month,Immediately,Cloud Computing (R&D)
56,The Twelfth Man,2 Months,12 Nov'18,Work From Home,29 Oct'18,2000-5000 /Month,Immediately,Web Development
57,BSSD Solutions,6 Months,6 Nov'18,Work From Home,29 Oct'18,5000-7000 /Month,Immediately,Mobile App Development
58,DipperNight,1 Month,12 Nov'18,Work From Home,29 Oct'18,1000 /Month,Immediately,Web Development
59,Go Loans,1 Month,12 Nov'18,Work From Home,29 Oct'18,4000 Lump-Sum,Immediately,Mobile App Development
60,Xeeders,1 Month,12 Nov'18,Work From Home,29 Oct'18,3000 /Month,Immediately,Mobile App Development
61,FT Broadcast,2 Months,12 Nov'18,Work From Home,29 Oct'18,2000-6000 /Month,Immediately,Web Development
62,Mobishaala,2 Months,11 Nov'18,Work From Home,29 Oct'18,5000-8000 /Month,Immediately,Web Development
63,Autozang,1 Month,11 Nov'18,Work From Home,29 Oct'18,5000 /Month,Immediately,Full Stack Development
64,DipperNight,1 Month,12 Nov'18,Work From Home,29 Oct'18,1000 /Month,Immediately,Mobile App Development
65,YourDiary,2 Months,11 Nov'18,Work From Home,29 Oct'18,2500 /Month,Immediately,Web Development
66,SAYODHYA - Home For Women In Need,6 Months,12 Nov'18,Work From Home,29 Oct'18,5000 /Month,Immediately,Web Development
67,Set2X,4 Months,11 Nov'18,Work From Home,29 Oct'18,1000 /Month,Immediately,Web Development
68,BackSlash Linux,1 Month,2 Dec'18,Work From Home,29 Oct'18,1000 /Week,Immediately,ElectronJS App Development
69,Analysed,3 Months,11 Nov'18,Work From Home,29 Oct'18,10000-15000 /Month,Immediately,Mobile App Development
70,WERP-India,1 Month,12 Nov'18,Work From Home,29 Oct'18,Unpaid,Immediately,Web Development
71,ATG,6 Months,11 Nov'18,Work From Home,29 Oct'18,2000-4000 /Month,Immediately,Web Development
72,Apparatus Solutions,3 Months,10 Nov'18,Work From Home,29 Oct'18,2500 /Month +  Incentives,Immediately,Web Development
73,Cvision.ai,1 Month,11 Nov'18,Work From Home,29 Oct'18,5000 /Month,Immediately,Machine Learning
74,P A Shah Jewellers,1 Month,11 Nov'18,Work From Home,29 Oct'18,4000-8000 /Month,Immediately,Mobile App Development
75,Team 4 Progress,6 Months,10 Nov'18,Work From Home,29 Oct'18,1000 /Month +  Incentives,Immediately,Recruitment (IT)
76,The Sparks Foundation,3 Months,10 Nov'18,Work From Home,29 Oct'18,Unpaid,Immediately,Web Development
77,Provoz,1 Month,11 Nov'18,Work From Home,29 Oct'18,8000-15000 Lump-Sum,Immediately,Software Development
78,Analysed,3 Months,11 Nov'18,Work From Home,29 Oct'18,5000-10000 /Month,Immediately,Full Stack Development
79,Celebebook.com,4 Months,30 Nov'18,Work From Home,29 Oct'18,3300 /Month,Immediately,Software Development (WebRTC - Video Calling)
80,The Sparks Foundation,3 Months,10 Nov'18,Work From Home,29 Oct'18,Unpaid,Immediately,Mobile App Development
81,Intel Index,4 Months,11 Nov'18,Work From Home,28 Oct'18,12000-20000 Lump-Sum,Immediately,JavaScript Development
82,Woogie Group,2 Months,9 Nov'18,Work From Home,28 Oct'18,5000 /Month,Immediately,Mobile App Development
83,Studylane Private Limited,3 Months,11 Nov'18,Work From Home,28 Oct'18,1000 /Month,Immediately,Web Development
84,Cybervie,3 Months,9 Nov'18,Work From Home,28 Oct'18,5000 /Month,Immediately,Teaching (Python)
85,Redfab,2 Months,10 Nov'18,Work From Home,28 Oct'18,2000 /Month,Immediately,PHP Development
86,Staffoid,1 Month,10 Nov'18,Work From Home,27 Oct'18,2000-3000 /Month,Immediately,Web Development
87,Texsotech Systems (OPC) Private Limited,3 Months,10 Nov'18,Work From Home,27 Oct'18,1000 /Month,Immediately,Web Development
88,BTCX India,3 Months,10 Nov'18,Work From Home,27 Oct'18,8000 /Month,Immediately,Software Testing
89,BTCX India,3 Months,10 Nov'18,Work From Home,27 Oct'18,8000 /Month,Immediately,Software Development
90,BTCX India,3 Months,10 Nov'18,Work From Home,27 Oct'18,8000 /Month,Immediately,Front End Development
91,BTCX India,3 Months,10 Nov'18,Work From Home,27 Oct'18,8000 /Month,Immediately,Information Technology
92,BTCX India,3 Months,10 Nov'18,Work From Home,27 Oct'18,8000 /Month,Immediately,Cloud Computing
93,BTCX India,3 Months,10 Nov'18,Work From Home,27 Oct'18,8000 /Month,Immediately,Mobile App Development
94,Flo Labs,6 Months,10 Nov'18,Work From Home,27 Oct'18,3000 /Month,Immediately,Web Development
95,ByodBuzz,1 Month,9 Nov'18,Work From Home,27 Oct'18,12000 /Month,Immediately,Python Development (Django)
96,Learning Skills Academy,1 Month,30 Nov'18,Work From Home,27 Oct'18,5000 /Month,Immediately,Web Development
97,Learning Skills Academy,4 Months,30 Nov'18,Work From Home,27 Oct'18,5000 /Month,Immediately,Web Development
98,Flarow,2 Months,10 Nov'18,Work From Home,27 Oct'18,5000 /Month,Immediately,Web Development
99,Freastal Technologies,2 Months,9 Nov'18,Work From Home,27 Oct'18,1000 /Month,Immediately,Android App Development
100,StareIn Digital Private Limited,3 Months,9 Nov'18,Work From Home,27 Oct'18,4500 /Month,Immediately,Unity Game Development
101,StareIn Digital Private Limited,2 Months,9 Nov'18,Work From Home,27 Oct'18,4500 /Month,Immediately,Software Development (Buildbox)
102,StareIn Digital Private Limited,3 Months,9 Nov'18,Work From Home,27 Oct'18,4500 /Month,Immediately,Game Development (Unity)
103,ByodBuzz,1 Month,9 Nov'18,Work From Home,27 Oct'18,8000 /Month,Immediately,Web Development
104,Wooup,2 Months,9 Nov'18,Work From Home,27 Oct'18,2000-5000 /Month,Immediately,Mobile App Development
105,CloudeTM Global Solutions Private Limited,6 Months,10 Nov'18,Work From Home,27 Oct'18,2500 /Month,Immediately,Mobile App Development
106,Pixentia Solutions,3 Months,9 Nov'18,Work From Home,26 Oct'18,6000 /Month,Immediately,Software Development
107,Youth Empowerment Foundation,4 Months,8 Nov'18,Work From Home,26 Oct'18,800-1000 /Month,Immediately,Web Development
108,Reno,1 Month,8 Nov'18,Work From Home,26 Oct'18,10000-15000 /Month,Immediately,Mobile App Development
109,Himalaya Labs,3 Months,30 Nov'18,Work From Home,26 Oct'18,4000 /Month,Immediately,Animation & Game Development
110,FlairTales,2 Months,9 Nov'18,Work From Home,26 Oct'18,1000-4000 /Month,Immediately,Mobile App Development
111,BrandMore,2 Months,8 Nov'18,Work From Home,26 Oct'18,1000 /Month,Immediately,Mobile App Development
112,InstantPost,6 Months,8 Nov'18,Work From Home,26 Oct'18,2000-6000 /Month,Immediately,Linux Server Administration
113,Akaaro,1 Month,8 Nov'18,Work From Home,25 Oct'18,2000 /Month,Immediately,Web Development
114,Travel d'globe,3 Months,8 Nov'18,Work From Home,25 Oct'18,1000-4000 /Month,Immediately,JavaScript Development
115,Ntechsez Consultancy Services Private Limited,6 Months,8 Nov'18,Work From Home,25 Oct'18,1000 /Month,Immediately,Web Development
116,JS Tigers,2 Months,7 Nov'18,Work From Home,25 Oct'18,4000 /Month,Immediately,Web Development
117,Flatlay,3 Months,7 Nov'18,Work From Home,25 Oct'18,10000-20000 /Month,Immediately,Full-stack Engineering
118,BTOSC Infotech Private Limited,1 Week,7 Nov'18,Work From Home,25 Oct'18,2500 /Month,Immediately,C# Developer
119,Wandermast,6 Months,7 Nov'18,Work From Home,24 Oct'18,4000 /Month,Immediately,Mobile App Development
120,Sidekick,2 Months,6 Nov'18,Work From Home,24 Oct'18,5000 /Month +  Incentives,Immediately,Web Development
121,Celebebook.com,6 Months,10 Nov'18,Work From Home,24 Oct'18,3300 /Month,Immediately,Web Development
122,System Designing,1 Month,7 Nov'18,Work From Home,24 Oct'18,1000 /Month,Immediately,Android App Development
123,MQIX Consulting,6 Months,7 Nov'18,Work From Home,24 Oct'18,3000-5000 /Month,Immediately,Web Development
124,Pratik Renuse Incorporation,1 Month,7 Nov'18,Work From Home,24 Oct'18,2000 /Month,Immediately,Web Development
125,Azyro Infratech,6 Months,3 Nov'18,Work From Home,23 Oct'18,3000-6000 /Month,Immediately,Web Development
126,System Designing,1 Month,6 Nov'18,Work From Home,23 Oct'18,1000 /Month,Immediately,Software Development
127,Tiny Banyan Technologies Private Limited,2 Months,15 Nov'18,Work From Home,23 Oct'18,3000-5000 /Month,Immediately,Mobile App Development
128,Oxalics E-Commerce,3 Months,6 Nov'18,Work From Home,23 Oct'18,4000 /Month,Immediately,Mobile App Development
129,PROEVES,6 Months,5 Nov'18,Work From Home,23 Oct'18,6000 /Month,Immediately,Mobile App Development
130,CAST Technologies,3 Months,6 Nov'18,Work From Home,23 Oct'18,3000-8000 /Month,Immediately,Computer Vision
131,Affable,6 Months,5 Nov'18,Work From Home,23 Oct'18,25000 /Month,Immediately,Web Development
132,Insta Courier Services,3 Months,6 Nov'18,Work From Home,23 Oct'18,2000-4000 /Month,Immediately,Web Development
133,Hiquik,3 Months,5 Nov'18,Work From Home,23 Oct'18,1000-5000 /Month,Immediately,Web Development
134,Vithal Vision IT And Media Solution,3 Months,27 Nov'18,Work From Home,23 Oct'18,1000 /Month,Immediately,Web Development
135,GHRS Private Limited,1 Month,5 Nov'18,Work From Home,22 Oct'18,5000 /Month,Immediately,Web Development
136,Product Partners,2 Months,26 Nov'18,Work From Home,22 Oct'18,6000-12000 /Month,Immediately,Back Office Executive
137,Tech3Hub Solutions Private Limited,3 Months,5 Nov'18,Work From Home,22 Oct'18,5000 /Month,Immediately,Web Development
138,Giscle Systems,3 Months,4 Nov'18,Work From Home,22 Oct'18,10000 Lump-Sum,Immediately,Software Development
139,Hashtag Systems Incorporation,6 Months,4 Nov'18,Work From Home,22 Oct'18,5000 /Month,Immediately,Backend Development
140,Educhamp,6 Months,4 Nov'18,Work From Home,22 Oct'18,10000-15000 /Month,Immediately,Web Development
141,Pucho Technology Information Private Limited,5 Months,24 Nov'18,Work From Home,22 Oct'18,20000-30000 /Month,Immediately,Deep Learning
142,Team 4 Progress,6 Months,2 Nov'18,Work From Home,22 Oct'18,1000 /Month,Immediately,Web Development
143,Gift On Delivery,2 Months,3 Nov'18,Work From Home,21 Oct'18,3000 /Month,Immediately,Web Development
144,Peoplite,6 Months,4 Nov'18,Work From Home,21 Oct'18,5000-8000 /Month,Immediately,Web Development
145,KR IT SOLUTION,6 Months,2 Nov'18,Work From Home,21 Oct'18,5000 /Month,Immediately,Oracle Development (ERP)
146,Notestudd,3 Months,4 Nov'18,Work From Home,21 Oct'18,2000 /Month,Immediately,Web Development
147,Embedgallery Electronics Services LLP,3 Months,2 Nov'18,Work From Home,20 Oct'18,4000-6500 /Month,Immediately,Technical Support
148,Bugendai Technology Solutions,3 Months,1 Nov'18,Work From Home,20 Oct'18,5000-10000 /Month,Immediately,Web Development
149,GoOffer Hyperlocal Private Limited,1 Month,1 Nov'18,Work From Home,20 Oct'18,3000-5000 /Month,Immediately,Web Development
150,BuyersGoHappy.com,2 Months,3 Nov'18,Work From Home,20 Oct'18,8000 Lump-Sum,Immediately,Web Development
151,Altiespace,2 Months,1 Nov'18,Work From Home,20 Oct'18,3000 /Month,Immediately,Mobile App Development
152,MyPustak,2 Months,3 Nov'18,Work From Home,20 Oct'18,2000-5000 /Month,Immediately,Mobile App Development
153,Trell,3 Months,1 Nov'18,Work From Home,18 Oct'18,5000-9000 /Month,Immediately,Mobile App Development
154,Trell,3 Months,1 Nov'18,Work From Home,18 Oct'18,7000-9000 /Month,Immediately,Web Development
155,Planify,6 Months,1 Nov'18,Work From Home,18 Oct'18,1000 /Month,Immediately,WordPress Development
156,Zersey,2 Months,21 Nov'18,Work From Home,18 Oct'18,7000-12000 /Month,Immediately,Mobile App Development
157,Vithal Vision IT And Media Solution,3 Months,13 Nov'18,Work From Home,17 Oct'18,1000 /Month,Immediately,Mobile App Development
158,Mission Learning Foundation,3 Months,21 Nov'18,Work From Home,17 Oct'18,Unpaid,Immediately,Salesforce Development
159,Maplytics Tech Solution,3 Months,21 Nov'18,Work From Home,17 Oct'18,2500 /Month,Immediately,Web Development
160,Pucho Technology Information Private Limited,2 Months,21 Nov'18,Work From Home,17 Oct'18,15000-25000 /Month,Immediately,Backend Development
161,Pucho Technology Information Private Limited,4 Months,21 Nov'18,Work From Home,17 Oct'18,15000-25000 /Month,Immediately,Mobile App Development
162,WERP-India,1 Month,20 Nov'18,Work From Home,17 Oct'18,Unpaid,Immediately,Front End & Back End Development
163,Paramhans Infotec Limited,3 Months,15 Nov'18,Work From Home,17 Oct'18,1000 /Month,Immediately,Web Development
164,TBS Planet,2 Months,21 Nov'18,Work From Home,17 Oct'18,3000 /Month,Immediately,Web Development
